,stock,Bearish,Neutral,Bullish,Total_Compound,date
0,TSLA,0.109,0.738,0.153,0.148,2022-08-03
1,SIGA,0.154,0.668,0.178,-0.019,2022-08-03
2,AMD,0.0,0.726,0.275,0.428,2022-08-03
3,AMZN,0.137,0.736,0.126,0.062,2022-08-03
4,AAPL,0.099,0.63,0.271,0.445,2022-08-03
5,GOOD,0.12,0.566,0.314,0.385,2022-08-03
6,META,0.195,0.496,0.31,0.411,2022-08-03
7,GO,0.142,0.526,0.332,0.572,2022-08-03
8,NEXT,0.0,0.651,0.349,0.822,2022-08-03
9,TEAM,0.0,0.642,0.358,0.599,2022-08-03
