stock,Bearish,Neutral,Bullish,Total_Compound,date,assetType,assetMainType,cusip,assetSubType,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed,realtimeEntitled,high52,low52,dividendAmount,dividendYield,dividendDate,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,quickRatio,currentRatio,interestCoverage,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,epsTTM,epsChangePercentTTM,epsChangeYear,epsChange,revChangeYear,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare,shortIntToFloat,shortIntDayToCover,divGrowthRate3Year,dividendPayAmount,dividendPayDate,beta,vol1DayAvg,vol10DayAvg,vol3MonthAvg
TSLA,0.274,0.701,0.025,-0.32,2022-07-30,EQUITY,EQUITY,88160R101,,TSLA,"Tesla, Inc.  - Common Stock",772.69,100,H,772.99,100,M,772.835,100,D,799.54,801.9299,768.79, ,805.3,-32.465,14544383,1658854045685.0,1658854044753.0,772.835,q,NASD,True,True,0.0274,4,1243.49,620.57,0.0,97.93,0.0,0.0,,Normal,772.835,1,-32.465,1658854044753.0,-4.0314,-32.465,-4.0314,-4.0314,True,False,1243.49,620.57,0.0,0.0, ,0.287988,23.04589,12.42601,64.38862,27.09853,25.00295,14.21999,13.39908,15.90686,14.55061,31.0984,15.44732,23.08706,1.05925,1.43082,0.0,10.52557,7.96679,12.17836,8.33118,335.6423,91.3919,0.0,0.0,60.44623,0.0,1036390569.0,852.8917,834605.3,37.79043,0.0,0.0,0.0,0.0, ,2.14065,29866540.0,29866538.0,644139300.0
AAPL,0.133,0.779,0.088,-0.087,2022-07-30,EQUITY,EQUITY,037833100,,AAPL,Apple Inc. - Common Stock,151.35,700,Q,151.36,300,Q,151.35,100,D,152.265,153.085,150.8, ,152.95,-1.6,25243321,1658854045766.0,1658854045430.0,151.35,q,NASD,True,True,0.0212,4,182.94,129.04,0.0,25.0466,0.92,0.6,2022-05-06 00:00:00.000,Normal,151.35,1,-1.6,1658854045430.0,-1.0461,-1.6,-1.0461,-1.0461,True,False,182.94,129.04,0.92,0.6,2022-05-06 00:00:00.000,0.65339,36.78018,6.41299,21.87051,43.32219,43.74987,26.40687,25.70982,30.92584,30.81786,149.2711,29.64002,44.91251,0.88402,0.92684,0.0,64.03085,153.3005,178.016,6.15212,38.04979,9.23257,0.0,0.0,18.62627,0.0,16185181000.0,16173.42,2475524.0,0.0,0.0,0.0,0.0,0.23,2022-05-12 00:00:00.000,1.20725,71778760.0,71778763.0,1908809630.0
MSFT,0.065,0.788,0.148,0.135,2022-07-30,EQUITY,EQUITY,594918104,,MSFT,Microsoft Corporation - Common Stock,250.2,200,Q,250.23,500,Q,250.215,100,D,259.86,259.88,249.9, ,258.83,-8.615,14924429,1658854045307.0,1658854045251.0,250.215,q,NASD,True,True,0.0176,4,349.67,241.51,0.0,27.1637,2.48,0.96,2022-08-17 00:00:00.000,Normal,250.215,1,-8.615,1658854045251.0,-3.3284,-8.615,-3.3284,-3.3284,True,False,349.67,241.51,2.48,0.96,2022-08-17 00:00:00.000,0.887,11.8879,10.05312,22.43597,68.7303,68.36507,37.62834,33.88979,42.52819,41.15478,48.72154,22.17523,28.76071,1.94509,1.98765,180.2124,28.3501,37.8876,39.56753,9.58486,30.44424,9.1275,0.0,0.0,20.37145,0.0,7479033135.0,7455.382,1935798.0,15.4153,0.0,0.0,0.0,0.62,2022-09-08 00:00:00.000,0.91648,25436060.0,25436059.0,643050730.0
GOOG,0.065,0.72,0.215,0.229,2022-07-30,EQUITY,EQUITY,02079K107,,GOOG,Alphabet Inc. - Class C Capital Stock,105.72,200,Z,105.74,300,Q,105.73,100,D,107.43,107.74,105.51, ,108.21,-2.48,13548319,1658854045574.0,1658854044272.0,105.73,q,NASD,True,True,0.0194,4,152.1,102.208,0.0,19.32,0.0,0.0,,Normal,105.73,1,-2.48,1658854044272.0,-2.2918,-2.48,-2.2918,-2.2918,True,False,152.1,102.208,0.0,0.0, ,0.417495,5.57657,5.25385,16.13805,56.92921,56.4791,27.57293,24.16668,30.47009,29.54522,30.80016,21.78894,26.30216,2.84891,2.871,15.847,5.5663,5.82314,5.8944,5.43227,47.40414,0.0,0.0,0.0,37.44725,0.0,6267528340.0,11817.0,1420294.0,13.57264,0.0,0.0,0.0,0.0, ,1.08028,38901810.0,19146606.0,829834460.0
AMZN,0.194,0.653,0.153,-0.121,2022-07-30,EQUITY,EQUITY,023135106,,AMZN,"Amazon.com, Inc. - Common Stock",115.46,400,V,115.48,400,Q,115.48,100,D,115.79,118.15,115.4117, ,121.14,-5.66,34965351,1658854045643.0,1658854045330.0,115.48,q,NASD,True,True,0.0192,4,188.1073,101.26,0.0,57.87,0.0,0.0,,Normal,115.48,1,-5.66,1658854045330.0,-4.6723,-5.66,-4.6723,-4.6723,True,False,188.1073,101.26,0.0,0.0, ,0.0,9.20296,2.57987,21.55862,42.13686,42.89186,4.4804,0.0,4.11995,3.15087,18.0456,5.83366,8.93864,0.70884,0.95963,0.42688,34.74189,51.07499,53.23766,2.06795,0.0,0.0,0.0,0.0,13.98564,0.0,10174409620.0,9169.922,1232528.0,46.36798,0.0,0.0,0.0,0.0, ,1.26722,60441380.0,60441376.0,1847835780.0
SIGA,0.0,0.671,0.329,0.314,2022-07-30,EQUITY,EQUITY,826917106,,SIGA,SIGA Technologies Inc. - Common Stock,16.93,400,P,16.94,3100,P,16.9345,500,D,15.15,17.27,15.07, ,15.69,1.2445,28351299,1658854044209.0,1658854045714.0,16.9345,q,NASD,True,True,0.0722,4,17.27,5.84,0.0,13.15,0.0,0.0,,Normal,16.9345,5,1.2445,1658854045714.0,7.9318,1.2445,7.9318,7.9318,True,False,16.34,5.84,0.0,0.0, ,1.933361,6.78781,8.14988,16.13389,84.88396,55.2141,50.14621,0.0,64.30838,0.0,48.13816,43.24093,45.30825,22.21265,24.46075,0.0,0.0,0.0,0.0,0.89253,9.09258,53.30813,0.0,0.0,9.62832,0.0,72406667.0,40.26925,1136.061,0.0,0.0,0.0,0.0,0.0, ,0.4804,12245550.0,12245553.0,253319180.0
COIN,0.255,0.697,0.048,-0.542,2022-07-30,EQUITY,EQUITY,19260Q107,,COIN,"Coinbase Global, Inc. - Class A Common Stock",56.83,200,V,56.89,200,Q,56.86,300,D,61.69,62.89,56.27, ,67.07,-10.21,15089931,1658854044899.0,1658854045237.0,56.86,q,NASD,True,True,0.0471,4,368.9,40.83,0.0,5.07,0.0,0.0,,Normal,56.86,3,-10.21,1658854045237.0,-15.2229,-10.21,-15.2229,-15.2229,True,False,368.9,40.83,0.0,0.0, ,0.011309,2.28511,2.06678,5.93891,81.79423,76.18163,33.63047,0.0,21.29692,0.0,60.73629,15.58383,37.51254,0.0,1.55108,0.0,35.24876,52.13695,54.4372,10.41785,569.2567,0.0,0.0,0.0,149.4759,0.0,173706582.0,170.4901,14890.66,0.0,0.0,0.0,0.0,0.0, ,0.0,15088330.0,15088333.0,316512160.0
ON,0.138,0.679,0.183,0.203,2022-07-30,EQUITY,EQUITY,682189105,,ON,ON Semiconductor Corporation - Common Stock,58.65,100,K,58.67,100,Q,58.66,100,Q,58.85,60.12,58.22, ,59.34,-0.68,2133183,1658854044784.0,1658854044782.0,58.66,q,NASD,True,True,0.0293,4,71.255,34.81,0.0,17.63,0.0,0.0,,Normal,58.66,1,-0.68,1658854044782.0,-1.1459,-0.68,-1.1459,-1.1459,True,False,71.255,34.81,0.0,0.0, ,0.058263,5.15844,3.57951,12.66508,43.79226,49.42416,20.1566,27.30077,24.8518,33.27506,33.62155,15.41066,18.72586,1.83347,2.78871,29.91509,39.15142,60.93394,64.59726,3.25513,312.8885,485.7214,0.0,0.0,31.95391,5.35724,434505663.0,432.7975,25783.57,19.06774,0.0,0.0,0.0,0.0, ,1.76245,5965990.0,5965987.0,183586640.0
GOOGL,0.22,0.663,0.117,-0.238,2022-07-30,EQUITY,EQUITY,02079K305,,GOOGL,Alphabet Inc. - Class A Common Stock,105.14,400,Q,105.16,100,Z,105.15,100,Z,106.6,107.2,104.79, ,107.51,-2.36,16703086,1658854045037.0,1658854045037.0,105.15,q,NASD,True,True,0.0218,4,151.5466,101.8847,0.0,19.24,0.0,0.0,,Normal,105.15,1,-2.36,1658854045037.0,-2.1951,-2.36,-2.1951,-2.1951,True,False,151.5466,101.8847,0.0,0.0, ,0.417495,5.57657,5.25385,16.13805,56.92921,56.4791,27.57293,24.16668,30.47009,29.54522,30.80016,21.78894,26.30216,2.84891,2.871,15.847,5.5663,5.82314,5.8944,5.43227,47.40414,0.0,0.0,0.0,37.44725,0.0,6015272440.0,11817.0,1420294.0,13.57264,0.0,0.0,0.0,0.0, ,1.08028,38901810.0,23195784.0,829834460.0
HAS,0.199,0.703,0.099,-0.169,2022-07-30,EQUITY,EQUITY,418056107,,HAS,"Hasbro, Inc. - Common Stock",78.1,100,P,78.13,500,Q,78.1,100,D,77.72,78.63,77.04, ,78.66,-0.56,742690,1658854043779.0,1658854042371.0,78.1,q,NASD,True,True,0.0442,4,105.73,77.04,0.0,20.9135,2.8,3.56,2022-07-29 00:00:00.000,Normal,78.1,1,-0.56,1658854042371.0,-0.7119,-0.56,-0.7119,-0.7119,True,False,105.73,77.11,2.8,3.56,2022-07-29 00:00:00.000,1.228951,3.64065,1.69119,13.55815,59.33515,61.05137,8.37381,10.49134,13.54518,16.36051,18.37191,5.54037,7.09286,1.02766,1.42962,5.34053,56.69206,124.1038,131.9039,3.87932,16.49924,751.9375,0.0,0.0,9.24951,15.14057,139442133.0,128.7577,10968.54,7.90731,0.0,0.0,0.0,0.7,2022-08-15 00:00:00.000,0.81627,1558790.0,1558793.0,23258820.0
TSLA,0.274,0.701,0.025,-0.32,2022-07-30,EQUITY,EQUITY,88160R101,,TSLA,"Tesla, Inc.  - Common Stock",773.0,100,Q,773.18,100,V,773.09,100,K,799.54,801.9299,768.79, ,805.3,-32.21,14578631,1658854093844.0,1658854093062.0,773.09,q,NASD,True,True,0.0274,4,1243.49,620.57,0.0,97.93,0.0,0.0,,Normal,773.09,1,-32.21,1658854093062.0,-3.9998,-32.21,-3.9998,-3.9998,True,False,1243.49,620.57,0.0,0.0, ,0.287988,23.04589,12.42601,64.38862,27.09853,25.00295,14.21999,13.39908,15.90686,14.55061,31.0984,15.44732,23.08706,1.05925,1.43082,0.0,10.52557,7.96679,12.17836,8.33118,335.6423,91.3919,0.0,0.0,60.44623,0.0,1036390569.0,852.8917,834605.3,37.79043,0.0,0.0,0.0,0.0, ,2.14065,29866540.0,29866538.0,644139300.0
AAPL,0.133,0.779,0.088,-0.087,2022-07-30,EQUITY,EQUITY,037833100,,AAPL,Apple Inc. - Common Stock,151.41,1200,P,151.42,100,Z,151.415,100,P,152.265,153.085,150.8, ,152.95,-1.535,25296863,1658854093543.0,1658854092725.0,151.415,q,NASD,True,True,0.0211,4,182.94,129.04,0.0,25.0466,0.92,0.6,2022-05-06 00:00:00.000,Normal,151.415,1,-1.535,1658854092725.0,-1.0036,-1.535,-1.0036,-1.0036,True,False,182.94,129.04,0.92,0.6,2022-05-06 00:00:00.000,0.65339,36.78018,6.41299,21.87051,43.32219,43.74987,26.40687,25.70982,30.92584,30.81786,149.2711,29.64002,44.91251,0.88402,0.92684,0.0,64.03085,153.3005,178.016,6.15212,38.04979,9.23257,0.0,0.0,18.62627,0.0,16185181000.0,16173.42,2475524.0,0.0,0.0,0.0,0.0,0.23,2022-05-12 00:00:00.000,1.20725,71778760.0,71778763.0,1908809630.0
MSFT,0.065,0.788,0.148,0.135,2022-07-30,EQUITY,EQUITY,594918104,,MSFT,Microsoft Corporation - Common Stock,250.2,1300,Q,250.22,400,Q,250.21,100,D,259.86,259.88,249.9, ,258.83,-8.62,14967206,1658854093810.0,1658854093395.0,250.21,q,NASD,True,True,0.0175,4,349.67,241.51,0.0,27.1637,2.48,0.96,2022-08-17 00:00:00.000,Normal,250.21,1,-8.62,1658854093395.0,-3.3304,-8.62,-3.3304,-3.3304,True,False,349.67,241.51,2.48,0.96,2022-08-17 00:00:00.000,0.887,11.8879,10.05312,22.43597,68.7303,68.36507,37.62834,33.88979,42.52819,41.15478,48.72154,22.17523,28.76071,1.94509,1.98765,180.2124,28.3501,37.8876,39.56753,9.58486,30.44424,9.1275,0.0,0.0,20.37145,0.0,7479033135.0,7455.382,1935798.0,15.4153,0.0,0.0,0.0,0.62,2022-09-08 00:00:00.000,0.91648,25436060.0,25436059.0,643050730.0
GOOG,0.065,0.72,0.215,0.229,2022-07-30,EQUITY,EQUITY,02079K107,,GOOG,Alphabet Inc. - Class C Capital Stock,105.73,400,Q,105.76,700,Q,105.73,100,H,107.43,107.74,105.51, ,108.21,-2.48,13572038,1658854093911.0,1658854093482.0,105.73,q,NASD,True,True,0.0194,4,152.1,102.208,0.0,19.32,0.0,0.0,,Normal,105.73,1,-2.48,1658854093482.0,-2.2918,-2.48,-2.2918,-2.2918,True,False,152.1,102.208,0.0,0.0, ,0.417495,5.57657,5.25385,16.13805,56.92921,56.4791,27.57293,24.16668,30.47009,29.54522,30.80016,21.78894,26.30216,2.84891,2.871,15.847,5.5663,5.82314,5.8944,5.43227,47.40414,0.0,0.0,0.0,37.44725,0.0,6267528340.0,11817.0,1420294.0,13.57264,0.0,0.0,0.0,0.0, ,1.08028,38901810.0,19146606.0,829834460.0
AMZN,0.194,0.653,0.153,-0.121,2022-07-30,EQUITY,EQUITY,023135106,,AMZN,"Amazon.com, Inc. - Common Stock",115.45,100,U,115.47,100,N,115.4699,200,D,115.79,118.15,115.4117, ,121.14,-5.6701,35034446,1658854093485.0,1658854093873.0,115.4699,q,NASD,True,True,0.0192,4,188.1073,101.26,0.0,57.87,0.0,0.0,,Normal,115.4699,2,-5.6701,1658854093873.0,-4.6806,-5.6701,-4.6806,-4.6806,True,False,188.1073,101.26,0.0,0.0, ,0.0,9.20296,2.57987,21.55862,42.13686,42.89186,4.4804,0.0,4.11995,3.15087,18.0456,5.83366,8.93864,0.70884,0.95963,0.42688,34.74189,51.07499,53.23766,2.06795,0.0,0.0,0.0,0.0,13.98564,0.0,10174409620.0,9169.922,1232528.0,46.36798,0.0,0.0,0.0,0.0, ,1.26722,60441380.0,60441376.0,1847835780.0
SIGA,0.0,0.671,0.329,0.314,2022-07-30,EQUITY,EQUITY,826917106,,SIGA,SIGA Technologies Inc. - Common Stock,16.98,200,U,17.0,500,N,16.9999,2000,D,15.15,17.27,15.07, ,15.69,1.3099,28423095,1658854093324.0,1658854093646.0,16.9999,q,NASD,True,True,0.0721,4,17.27,5.84,0.0,13.15,0.0,0.0,,Normal,16.9999,20,1.3099,1658854093646.0,8.3486,1.3099,8.3486,8.3486,True,False,16.34,5.84,0.0,0.0, ,1.933361,6.78781,8.14988,16.13389,84.88396,55.2141,50.14621,0.0,64.30838,0.0,48.13816,43.24093,45.30825,22.21265,24.46075,0.0,0.0,0.0,0.0,0.89253,9.09258,53.30813,0.0,0.0,9.62832,0.0,72406667.0,40.26925,1136.061,0.0,0.0,0.0,0.0,0.0, ,0.4804,12245550.0,12245553.0,253319180.0
COIN,0.255,0.697,0.048,-0.542,2022-07-30,EQUITY,EQUITY,19260Q107,,COIN,"Coinbase Global, Inc. - Class A Common Stock",56.98,200,Q,57.0,2100,Q,56.9801,100,D,61.69,62.89,56.27, ,67.07,-10.0899,15107253,1658854092157.0,1658854092089.0,56.9801,q,NASD,True,True,0.0471,4,368.9,40.83,0.0,5.07,0.0,0.0,,Normal,56.9801,1,-10.0899,1658854092089.0,-15.0438,-10.0899,-15.0438,-15.0438,True,False,368.9,40.83,0.0,0.0, ,0.011309,2.28511,2.06678,5.93891,81.79423,76.18163,33.63047,0.0,21.29692,0.0,60.73629,15.58383,37.51254,0.0,1.55108,0.0,35.24876,52.13695,54.4372,10.41785,569.2567,0.0,0.0,0.0,149.4759,0.0,173706582.0,170.4901,14890.66,0.0,0.0,0.0,0.0,0.0, ,0.0,15088330.0,15088333.0,316512160.0
ON,0.138,0.679,0.183,0.203,2022-07-30,EQUITY,EQUITY,682189105,,ON,ON Semiconductor Corporation - Common Stock,58.68,100,Q,58.7,400,X,58.6899,100,D,58.85,60.12,58.22, ,59.34,-0.6501,2138826,1658854092343.0,1658854091930.0,58.6899,q,NASD,True,True,0.0293,4,71.255,34.81,0.0,17.63,0.0,0.0,,Normal,58.6899,1,-0.6501,1658854091930.0,-1.0956,-0.6501,-1.0956,-1.0956,True,False,71.255,34.81,0.0,0.0, ,0.058263,5.15844,3.57951,12.66508,43.79226,49.42416,20.1566,27.30077,24.8518,33.27506,33.62155,15.41066,18.72586,1.83347,2.78871,29.91509,39.15142,60.93394,64.59726,3.25513,312.8885,485.7214,0.0,0.0,31.95391,5.35724,434505663.0,432.7975,25783.57,19.06774,0.0,0.0,0.0,0.0, ,1.76245,5965990.0,5965987.0,183586640.0
GOOGL,0.22,0.663,0.117,-0.238,2022-07-30,EQUITY,EQUITY,02079K305,,GOOGL,Alphabet Inc. - Class A Common Stock,105.15,200,Q,105.18,100,H,105.165,100,D,106.6,107.2,104.79, ,107.51,-2.345,16729355,1658854093547.0,1658854093545.0,105.165,q,NASD,True,True,0.0218,4,151.5466,101.8847,0.0,19.24,0.0,0.0,,Normal,105.165,1,-2.345,1658854093545.0,-2.1812,-2.345,-2.1812,-2.1812,True,False,151.5466,101.8847,0.0,0.0, ,0.417495,5.57657,5.25385,16.13805,56.92921,56.4791,27.57293,24.16668,30.47009,29.54522,30.80016,21.78894,26.30216,2.84891,2.871,15.847,5.5663,5.82314,5.8944,5.43227,47.40414,0.0,0.0,0.0,37.44725,0.0,6015272440.0,11817.0,1420294.0,13.57264,0.0,0.0,0.0,0.0, ,1.08028,38901810.0,23195784.0,829834460.0
HAS,0.199,0.703,0.099,-0.169,2022-07-30,EQUITY,EQUITY,418056107,,HAS,"Hasbro, Inc. - Common Stock",78.1,200,Q,78.14,200,P,78.13,100,V,77.72,78.63,77.04, ,78.66,-0.53,743266,1658854088049.0,1658854082786.0,78.13,q,NASD,True,True,0.0442,4,105.73,77.04,0.0,20.9135,2.8,3.56,2022-07-29 00:00:00.000,Normal,78.13,1,-0.53,1658854082786.0,-0.6738,-0.53,-0.6738,-0.6738,True,False,105.73,77.11,2.8,3.56,2022-07-29 00:00:00.000,1.228951,3.64065,1.69119,13.55815,59.33515,61.05137,8.37381,10.49134,13.54518,16.36051,18.37191,5.54037,7.09286,1.02766,1.42962,5.34053,56.69206,124.1038,131.9039,3.87932,16.49924,751.9375,0.0,0.0,9.24951,15.14057,139442133.0,128.7577,10968.54,7.90731,0.0,0.0,0.0,0.7,2022-08-15 00:00:00.000,0.81627,1558790.0,1558793.0,23258820.0
TSLA,0.274,0.701,0.025,-0.32,2022-07-30,EQUITY,EQUITY,88160R101,,TSLA,"Tesla, Inc.  - Common Stock",773.01,100,Z,773.19,200,P,773.01,100,K,799.54,801.9299,768.79, ,805.3,-32.29,14589483,1658854120851.0,1658854120060.0,773.01,q,NASD,True,True,0.0274,4,1243.49,620.57,0.0,97.93,0.0,0.0,,Normal,773.01,1,-32.29,1658854120060.0,-4.0097,-32.29,-4.0097,-4.0097,True,False,1243.49,620.57,0.0,0.0, ,0.287988,23.04589,12.42601,64.38862,27.09853,25.00295,14.21999,13.39908,15.90686,14.55061,31.0984,15.44732,23.08706,1.05925,1.43082,0.0,10.52557,7.96679,12.17836,8.33118,335.6423,91.3919,0.0,0.0,60.44623,0.0,1036390569.0,852.8917,834605.3,37.79043,0.0,0.0,0.0,0.0, ,2.14065,29866540.0,29866538.0,644139300.0
AAPL,0.133,0.779,0.088,-0.087,2022-07-30,EQUITY,EQUITY,037833100,,AAPL,Apple Inc. - Common Stock,151.43,400,Q,151.45,800,Q,151.435,100,D,152.265,153.085,150.8, ,152.95,-1.515,25323233,1658854121239.0,1658854121236.0,151.435,q,NASD,True,True,0.0211,4,182.94,129.04,0.0,25.0466,0.92,0.6,2022-05-06 00:00:00.000,Normal,151.435,1,-1.515,1658854121236.0,-0.9905,-1.515,-0.9905,-0.9905,True,False,182.94,129.04,0.92,0.6,2022-05-06 00:00:00.000,0.65339,36.78018,6.41299,21.87051,43.32219,43.74987,26.40687,25.70982,30.92584,30.81786,149.2711,29.64002,44.91251,0.88402,0.92684,0.0,64.03085,153.3005,178.016,6.15212,38.04979,9.23257,0.0,0.0,18.62627,0.0,16185181000.0,16173.42,2475524.0,0.0,0.0,0.0,0.0,0.23,2022-05-12 00:00:00.000,1.20725,71778760.0,71778763.0,1908809630.0
MSFT,0.065,0.788,0.148,0.135,2022-07-30,EQUITY,EQUITY,594918104,,MSFT,Microsoft Corporation - Common Stock,250.16,100,B,250.19,100,U,250.18,100,D,259.86,259.88,249.9, ,258.83,-8.65,14996792,1658854121259.0,1658854120955.0,250.18,q,NASD,True,True,0.0175,4,349.67,241.51,0.0,27.1637,2.48,0.96,2022-08-17 00:00:00.000,Normal,250.18,1,-8.65,1658854120955.0,-3.342,-8.65,-3.342,-3.342,True,False,349.67,241.51,2.48,0.96,2022-08-17 00:00:00.000,0.887,11.8879,10.05312,22.43597,68.7303,68.36507,37.62834,33.88979,42.52819,41.15478,48.72154,22.17523,28.76071,1.94509,1.98765,180.2124,28.3501,37.8876,39.56753,9.58486,30.44424,9.1275,0.0,0.0,20.37145,0.0,7479033135.0,7455.382,1935798.0,15.4153,0.0,0.0,0.0,0.62,2022-09-08 00:00:00.000,0.91648,25436060.0,25436059.0,643050730.0
GOOG,0.065,0.72,0.215,0.229,2022-07-30,EQUITY,EQUITY,02079K107,,GOOG,Alphabet Inc. - Class C Capital Stock,105.71,200,P,105.73,800,Q,105.72,100,V,107.43,107.74,105.51, ,108.21,-2.49,13580401,1658854121068.0,1658854120606.0,105.72,q,NASD,True,True,0.0194,4,152.1,102.208,0.0,19.32,0.0,0.0,,Normal,105.72,1,-2.49,1658854120606.0,-2.3011,-2.49,-2.3011,-2.3011,True,False,152.1,102.208,0.0,0.0, ,0.417495,5.57657,5.25385,16.13805,56.92921,56.4791,27.57293,24.16668,30.47009,29.54522,30.80016,21.78894,26.30216,2.84891,2.871,15.847,5.5663,5.82314,5.8944,5.43227,47.40414,0.0,0.0,0.0,37.44725,0.0,6267528340.0,11817.0,1420294.0,13.57264,0.0,0.0,0.0,0.0, ,1.08028,38901810.0,19146606.0,829834460.0
AMZN,0.194,0.653,0.153,-0.121,2022-07-30,EQUITY,EQUITY,023135106,,AMZN,"Amazon.com, Inc. - Common Stock",115.36,200,Z,115.39,400,K,115.37,100,D,115.79,118.15,115.35, ,121.14,-5.77,35112983,1658854121053.0,1658854120950.0,115.37,q,NASD,True,True,0.0192,4,188.1073,101.26,0.0,57.87,0.0,0.0,,Normal,115.37,1,-5.77,1658854120950.0,-4.7631,-5.77,-4.7631,-4.7631,True,False,188.1073,101.26,0.0,0.0, ,0.0,9.20296,2.57987,21.55862,42.13686,42.89186,4.4804,0.0,4.11995,3.15087,18.0456,5.83366,8.93864,0.70884,0.95963,0.42688,34.74189,51.07499,53.23766,2.06795,0.0,0.0,0.0,0.0,13.98564,0.0,10174409620.0,9169.922,1232528.0,46.36798,0.0,0.0,0.0,0.0, ,1.26722,60441380.0,60441376.0,1847835780.0
SIGA,0.0,0.671,0.329,0.314,2022-07-30,EQUITY,EQUITY,826917106,,SIGA,SIGA Technologies Inc. - Common Stock,16.99,100,P,17.01,700,N,17.01,900,D,15.15,17.27,15.07, ,15.69,1.32,28440849,1658854120554.0,1658854119029.0,17.01,q,NASD,True,True,0.0721,4,17.27,5.84,0.0,13.15,0.0,0.0,,Normal,17.01,9,1.32,1658854119029.0,8.413,1.32,8.413,8.413,True,False,16.34,5.84,0.0,0.0, ,1.933361,6.78781,8.14988,16.13389,84.88396,55.2141,50.14621,0.0,64.30838,0.0,48.13816,43.24093,45.30825,22.21265,24.46075,0.0,0.0,0.0,0.0,0.89253,9.09258,53.30813,0.0,0.0,9.62832,0.0,72406667.0,40.26925,1136.061,0.0,0.0,0.0,0.0,0.0, ,0.4804,12245550.0,12245553.0,253319180.0
COIN,0.255,0.697,0.048,-0.542,2022-07-30,EQUITY,EQUITY,19260Q107,,COIN,"Coinbase Global, Inc. - Class A Common Stock",56.85,100,J,56.88,200,Q,56.865,100,V,61.69,62.89,56.27, ,67.07,-10.205,15121658,1658854120649.0,1658854119866.0,56.865,q,NASD,True,True,0.0471,4,368.9,40.83,0.0,5.07,0.0,0.0,,Normal,56.865,1,-10.205,1658854119866.0,-15.2154,-10.205,-15.2154,-15.2154,True,False,368.9,40.83,0.0,0.0, ,0.011309,2.28511,2.06678,5.93891,81.79423,76.18163,33.63047,0.0,21.29692,0.0,60.73629,15.58383,37.51254,0.0,1.55108,0.0,35.24876,52.13695,54.4372,10.41785,569.2567,0.0,0.0,0.0,149.4759,0.0,173706582.0,170.4901,14890.66,0.0,0.0,0.0,0.0,0.0, ,0.0,15088330.0,15088333.0,316512160.0
ON,0.138,0.679,0.183,0.203,2022-07-30,EQUITY,EQUITY,682189105,,ON,ON Semiconductor Corporation - Common Stock,58.66,900,Q,58.68,300,V,58.67,100,D,58.85,60.12,58.22, ,59.34,-0.67,2141981,1658854118791.0,1658854119059.0,58.67,q,NASD,True,True,0.0293,4,71.255,34.81,0.0,17.63,0.0,0.0,,Normal,58.67,1,-0.67,1658854119059.0,-1.1291,-0.67,-1.1291,-1.1291,True,False,71.255,34.81,0.0,0.0, ,0.058263,5.15844,3.57951,12.66508,43.79226,49.42416,20.1566,27.30077,24.8518,33.27506,33.62155,15.41066,18.72586,1.83347,2.78871,29.91509,39.15142,60.93394,64.59726,3.25513,312.8885,485.7214,0.0,0.0,31.95391,5.35724,434505663.0,432.7975,25783.57,19.06774,0.0,0.0,0.0,0.0, ,1.76245,5965990.0,5965987.0,183586640.0
GOOGL,0.22,0.663,0.117,-0.238,2022-07-30,EQUITY,EQUITY,02079K305,,GOOGL,Alphabet Inc. - Class A Common Stock,105.14,100,Z,105.15,100,Q,105.14,100,D,106.6,107.2,104.79, ,107.51,-2.37,16745821,1658854121309.0,1658854121022.0,105.14,q,NASD,True,True,0.0218,4,151.5466,101.8847,0.0,19.24,0.0,0.0,,Normal,105.14,1,-2.37,1658854121022.0,-2.2044,-2.37,-2.2044,-2.2044,True,False,151.5466,101.8847,0.0,0.0, ,0.417495,5.57657,5.25385,16.13805,56.92921,56.4791,27.57293,24.16668,30.47009,29.54522,30.80016,21.78894,26.30216,2.84891,2.871,15.847,5.5663,5.82314,5.8944,5.43227,47.40414,0.0,0.0,0.0,37.44725,0.0,6015272440.0,11817.0,1420294.0,13.57264,0.0,0.0,0.0,0.0, ,1.08028,38901810.0,23195784.0,829834460.0
