Stock Ticker,BBBY,BBBY,BBBY,BBBY,BBBY,BBBY,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,OLED,OLED,OLED,OLED,OLED,OLED
Stock Info,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-19,27.6200008392334,26.15999984741211,26.270000457763672,27.139999389648438,3280500,27.139999389648438,647.2000122070312,621.2899780273438,629.8900146484375,646.219970703125,21297100,646.219970703125,144.07000732421875,141.6699981689453,143.75,142.4499969482422,121434600.0,141.4442901611328,206.80999755859375,198.52999877929688,201.3800048828125,205.11000061035156,186000.0,203.68841552734375
2021-07-20,29.329999923706055,27.5,28.079999923706055,29.049999237060547,5561300,29.049999237060547,662.3900146484375,640.5,651.989990234375,660.5,15487100,660.5,147.10000610351562,142.9600067138672,143.4600067138672,146.14999389648438,96350000.0,145.1181640625,213.97999572753906,205.10000610351562,205.58999633789062,212.17999267578125,340800.0,210.70941162109375
2021-07-21,30.190000534057617,28.780000686645508,28.790000915527344,29.889999389648438,3022500,29.889999389648438,664.8599853515625,650.2899780273438,659.6099853515625,655.2899780273438,13953300,655.2899780273438,146.1300048828125,144.6300048828125,145.52999877929688,145.39999389648438,74993500.0,144.3734588623047,219.41000366210938,212.02000427246094,212.5500030517578,218.6699981689453,300100.0,217.15443420410156
2021-07-22,30.350000381469727,28.959999084472656,30.25,29.40999984741211,1508300,29.40999984741211,662.1699829101562,644.5999755859375,656.4400024414062,649.260009765625,15105700,649.260009765625,148.1999969482422,145.80999755859375,145.94000244140625,146.8000030517578,77338200.0,145.7635955810547,220.38999938964844,214.69000244140625,214.69000244140625,220.16000366210938,231500.0,218.6341094970703
2021-07-23,29.65999984741211,28.549999237060547,29.530000686645508,28.719999313354492,1503700,28.719999313354492,648.7999877929688,637.2999877929688,646.3599853515625,643.3800048828125,14604900,643.3800048828125,148.72000122070312,146.9199981689453,147.5500030517578,148.55999755859375,71447400.0,147.5111541748047,223.27999877929688,217.6199951171875,221.47999572753906,222.85000610351562,160800.0,221.3054656982422
2021-07-26,30.020000457763672,28.780000686645508,28.90999984741211,29.829999923706055,2042600,29.829999923706055,668.2000122070312,647.1099853515625,650.969970703125,657.6199951171875,25336600,657.6199951171875,149.8300018310547,147.6999969482422,148.27000427246094,148.99000549316406,72434100.0,147.93814086914062,221.5399932861328,216.17999267578125,220.97999572753906,217.25,176100.0,215.7442626953125
2021-07-27,29.829999923706055,28.440000534057617,29.6299991607666,29.079999923706055,1993600,29.079999923706055,666.5,627.239990234375,663.4000244140625,644.780029296875,32813300,644.780029296875,149.2100067138672,145.5500030517578,149.1199951171875,146.77000427246094,104818600.0,145.7338104248047,216.82000732421875,209.25,216.82000732421875,213.1999969482422,146300.0,211.7223358154297
2021-07-28,29.639999389648438,28.520000457763672,29.299999237060547,29.1299991607666,1092700,29.1299991607666,654.969970703125,639.4000244140625,647.0,646.97998046875,16006600,646.97998046875,146.97000122070312,142.5399932861328,144.80999755859375,144.97999572753906,118931200.0,143.9564208984375,220.89999389648438,212.47000122070312,213.25,220.44000244140625,168200.0,218.9121856689453
2021-07-29,30.030000686645508,28.6200008392334,29.200000762939453,28.739999771118164,1354000,28.739999771118164,683.6900024414062,648.7999877929688,649.7899780273438,677.3499755859375,30394600,677.3499755859375,146.5500030517578,144.5800018310547,144.69000244140625,145.63999938964844,56699500.0,144.61178588867188,233.38999938964844,221.61000061035156,221.61000061035156,232.05999755859375,425400.0,230.45162963867188
2021-07-30,29.350000381469727,28.18000030517578,28.649999618530273,28.540000915527344,2004900,28.540000915527344,697.530029296875,669.0,671.760009765625,687.2000122070312,29656400,687.2000122070312,146.3300018310547,144.11000061035156,144.3800048828125,145.86000061035156,70440600.0,144.83023071289062,234.8000030517578,229.66000366210938,230.0,234.49000549316406,257200.0,232.86480712890625
2021-08-02,29.219999313354492,28.209999084472656,28.65999984741211,28.329999923706055,1562500,28.329999923706055,726.9400024414062,698.4000244140625,700.0,709.6699829101562,33615800,709.6699829101562,146.9499969482422,145.25,146.36000061035156,145.52000427246094,62880000.0,144.4926300048828,237.0,229.00999450683594,235.5,229.75999450683594,329700.0,228.16757202148438
2021-08-03,28.68000030517578,27.700000762939453,28.40999984741211,28.459999084472656,1507000,28.459999084472656,722.6500244140625,701.010009765625,719.0,709.739990234375,21620300,709.739990234375,148.0399932861328,145.17999267578125,145.80999755859375,147.36000061035156,64786600.0,146.31964111328125,232.72000122070312,228.00999450683594,229.8800048828125,229.05999755859375,156800.0,227.472412109375
2021-08-04,28.739999771118164,26.59000015258789,28.739999771118164,27.1299991607666,3598900,27.1299991607666,724.9000244140625,708.9299926757812,711.0,710.9199829101562,17002600,710.9199829101562,147.7899932861328,146.27999877929688,147.27000427246094,146.9499969482422,56368300.0,145.91253662109375,232.9499969482422,227.89999389648438,228.1199951171875,231.60000610351562,153200.0,229.9948272705078
